Field,Value
visaId,au-tourist-1yr
passportName,Australia
passportDemonym,
selectedVisaOption,"{'id': 'au-tourist-1yr', 'name': '1 year Indian Tourist eVisa', 'visa_type': 'tourist', 'duration': '1yr', 'price': 88, 'govt_fee': 40, 'our_fee': 47, 'processing_fee': 1, 'entries': 'Multiple', 'stay_duration': '90 days per visit', 'validity': '1 year', 'purpose': 'Tourism', 'approved_by': 'April 11', 'approval_days': 5, 'discount_amount': 50}"
email,admin@clearevisa.com
passportType,Ordinary
portOfArrival,Ahmedabad Airport
expectedArrivalDate,2026-04-29
visaService,1 year Indian Tourist eVisa
visaServiceSubtype,"Tourism, Recreation, Sight-seeing"
passportNumber,PN123456789
dateOfIssue,2026-03-29
dateOfExpiry,2026-05-01
otherPassportHeld,No
yogaInstituteName,
yogaInstituteAddress,
yogaInstitutePhone,
expiresAt,2026-04-13T21:40:26.615000
applicationId,APP20260404134701
educationalQualification,
givenNames,XS
livedTwoYears,Yes
qualificationFrom,XS
religion,
surname,Sinha Mahapatra
visibleMarks,None
country,
houseNoStreet,"D4, Orange Habitat Society"
phoneCountryCode,+1
phoneNumber,8436005887
postalCode,411036
stateProvince,Maharashtra
villageTownCity,Pune
fatherCountryOfBirth,
fatherName,sdgf
fatherNationality,
fatherPlaceOfBirth,Leicester
fatherPreviousNationality,
maritalStatus,Single
motherCountryOfBirth,
motherName,Kathleen Fortay Drewery
motherNationality,
motherPlaceOfBirth,Stockport
motherPreviousNationality,
pakistanConnection,No
spouseCountryOfBirth,
spouseName,
spouseNationality,
spousePlaceOfBirth,
spousePreviousNationality,
designation,
employerAddress,A
employerName,A
employerPhone,
militaryService,No
pastOccupation,
pastOccupationIfAny,
presentOccupation,Private service
citiesPreviouslyVisited,
companyAddress,
companyName,
companyPhoneCountryCode,+1
companyPhoneNumber,
companyWebsite,
conferenceAddress,
conferenceEndDate,
conferenceName,
conferenceStartDate,
countriesVisitedLast10Years,
hotelBooked,No
indianFirmAddress,
indianFirmName,
indianFirmPhoneCountryCode,+91
indianFirmPhoneNumber,
indianFirmWebsite,
lastIndianVisaNo,
oldVisaIssueDate,
oldVisaIssuePlace,
oldVisaType,
organizerAddress,
organizerEmail,
organizerName,
organizerPhoneCountryCode,+91
organizerPhoneNumber,
placesToVisit,A
placesToVisitLine2,
previousAddress,
visitedIndiaBefore,No
visitedSAARCCountries,No
homeReferenceAddress,iamtravel100@gmail.com
homeReferenceName,iamtravel100@gmail.com
homeReferencePhoneCountryCode,+1
homeReferencePhoneNumber,1231231234
indiaReferenceAddress,JAGANNATHPUR
indiaReferenceName,Satpati
indiaReferencePhoneCountryCode,+91
indiaReferencePhoneNumber,9933698424
arrestedConvicted,No
arrestedConvictedReason,
asylumSought,No
asylumSoughtReason,
cyberCrime,No
cyberCrimeReason,
humanTrafficking,No
humanTraffickingReason,
refusedEntry,No
refusedEntryReason,
terroristViews,No
terroristViewsReason,
