Field,Value
visaId,draft
email,admin@clearevisa.com
passportType,Ordinary
portOfArrival,
expectedArrivalDate,2026-04-07
visaService,30 day Indian Tourist eVisa
visaServiceSubtype,"Tourism, Recreation, Sight-seeing"
passportNumber,PN123456789
dateOfIssue,2026-04-02
dateOfExpiry,2026-04-03
otherPassportHeld,No
yogaInstituteName,
yogaInstituteAddress,
yogaInstitutePhone,
educationalQualification,
givenNames,TEST
livedTwoYears,Yes
qualificationFrom,a
religion,
surname,Sinha Mahapatra
visibleMarks,None
country,
houseNoStreet,sdfg
phoneCountryCode,+1
phoneNumber,8436005887
postalCode,dfgh
stateProvince,hdgf
villageTownCity,gd
fatherCountryOfBirth,
fatherName,sdgf
fatherNationality,
fatherPlaceOfBirth,gas
fatherPreviousNationality,
maritalStatus,Single
motherCountryOfBirth,
motherName,ag
motherNationality,
motherPlaceOfBirth,sdfga
motherPreviousNationality,
pakistanConnection,No
spouseCountryOfBirth,
spouseName,
spouseNationality,
spousePlaceOfBirth,
spousePreviousNationality,
designation,
employerAddress,sfd
employerName,sdf
employerPhone,
militaryService,No
pastOccupation,
pastOccupationIfAny,
presentOccupation,
citiesPreviouslyVisited,
companyAddress,
companyName,
companyPhoneCountryCode,+1
companyPhoneNumber,
companyWebsite,
conferenceAddress,
conferenceEndDate,
conferenceName,
conferenceStartDate,
countriesVisitedLast10Years,
hotelBooked,No
indianFirmAddress,
indianFirmName,
indianFirmPhoneCountryCode,+91
indianFirmPhoneNumber,
indianFirmWebsite,
lastIndianVisaNo,
oldVisaIssueDate,
oldVisaIssuePlace,
oldVisaType,
organizerAddress,
organizerEmail,
organizerName,
organizerPhoneCountryCode,+91
organizerPhoneNumber,
placesToVisit,sdffds
placesToVisitLine2,
previousAddress,
visitedIndiaBefore,No
visitedSAARCCountries,No
homeReferenceAddress,fds
homeReferenceName,sdfg
homeReferencePhoneCountryCode,+1
homeReferencePhoneNumber,8436005887
indiaReferenceAddress,fds
indiaReferenceName,fds
indiaReferencePhoneCountryCode,+91
indiaReferencePhoneNumber,9933698424
applicationId,APP20260402210203
arrestedConvicted,No
arrestedConvictedReason,
asylumSought,No
asylumSoughtReason,
cyberCrime,No
cyberCrimeReason,
humanTrafficking,No
humanTraffickingReason,
refusedEntry,No
refusedEntryReason,
terroristViews,No
terroristViewsReason,
payment_amount,102
paypal_order_id,2W133472H47551532
