Field,Value
visaId,af-tourist-30d
email,admin@clearevisa.com
passportType,Ordinary
portOfArrival,Amritsar Airport
expectedArrivalDate,2026-04-07
visaService,30 day Indian Tourist eVisa
visaServiceSubtype,"Tourism, Recreation, Sight-seeing"
passportNumber,A
dateOfIssue,2026-04-02
dateOfExpiry,2026-04-03
otherPassportHeld,No
yogaInstituteName,
yogaInstituteAddress,
yogaInstitutePhone,
surname,a
givenNames,d
religion,
visibleMarks,None
educationalQualification,
qualificationFrom,f
livedTwoYears,Yes
houseNoStreet,f
villageTownCity,f
country,
stateProvince,g
postalCode,h
phoneCountryCode,+1
phoneNumber,9933698424
fatherName,e
fatherNationality,
fatherPreviousNationality,
fatherPlaceOfBirth,r
fatherCountryOfBirth,
motherName,r
motherNationality,
motherPreviousNationality,
motherPlaceOfBirth,t
motherCountryOfBirth,
maritalStatus,Single
spouseName,
spouseNationality,
spousePreviousNationality,
spousePlaceOfBirth,
spouseCountryOfBirth,
pakistanConnection,No
presentOccupation,
employerName,y
designation,
employerAddress,y
employerPhone,
pastOccupation,
militaryService,No
pastOccupationIfAny,
placesToVisit,y
placesToVisitLine2,
hotelBooked,No
visitedIndiaBefore,No
previousAddress,
citiesPreviouslyVisited,
lastIndianVisaNo,
oldVisaType,
oldVisaIssuePlace,
oldVisaIssueDate,
countriesVisitedLast10Years,
visitedSAARCCountries,No
companyName,
companyAddress,
companyPhoneCountryCode,+1
companyPhoneNumber,
companyWebsite,
indianFirmName,
indianFirmAddress,
indianFirmPhoneCountryCode,+91
indianFirmPhoneNumber,
indianFirmWebsite,
conferenceName,
conferenceStartDate,
conferenceEndDate,
conferenceAddress,
organizerName,
organizerAddress,
organizerPhoneCountryCode,+91
organizerPhoneNumber,
organizerEmail,
indiaReferenceName,y
indiaReferenceAddress,y
indiaReferencePhoneCountryCode,+91
indiaReferencePhoneNumber,8436005887
homeReferenceName,y
homeReferenceAddress,y
homeReferencePhoneCountryCode,+1
homeReferencePhoneNumber,9933698424
arrestedConvicted,No
arrestedConvictedReason,
refusedEntry,No
refusedEntryReason,
humanTrafficking,No
humanTraffickingReason,
cyberCrime,No
cyberCrimeReason,
terroristViews,No
terroristViewsReason,
asylumSought,No
asylumSoughtReason,
applicationId,APP20260402205028
