Field,Value
visaId,au-tourist-30d
passportName,Australia
passportDemonym,Australian
selectedVisaOption,"{'id': 'au-tourist-30d', 'name': '30 day Indian Tourist eVisa', 'visa_type': 'tourist', 'duration': '30d', 'price': 57.25, 'govt_fee': 10, 'our_fee': 47, 'processing_fee': 0.25, 'entries': 'Double', 'stay_duration': '30 days', 'validity': '120 days', 'purpose': 'Tourism', 'approved_by': 'April 11', 'approval_days': 5, 'discount_amount': 50}"
email,admin@clearevisa.com
passportType,Ordinary
portOfArrival,
expectedArrivalDate,2026-04-29
visaService,30 day Indian Tourist eVisa
visaServiceSubtype,
passportNumber,PN123456789
dateOfIssue,2026-03-29
dateOfExpiry,2026-04-07
otherPassportHeld,No
yogaInstituteName,s
yogaInstituteAddress,s
yogaInstitutePhone,s
expiresAt,2026-04-15T20:10:52.267000
applicationId,APP20260408201007
educationalQualification,
givenNames,1
livedTwoYears,Yes
qualificationFrom,1
religion,
surname,Sinha Mahapatra
visibleMarks,None
country,
houseNoStreet,"D4, Orange Habitat Society"
phoneCountryCode,+91
phoneNumber,8436005887
postalCode,411036
stateProvince,Maharashtra
villageTownCity,Pune
fatherCountryOfBirth,
fatherName,sdgf
fatherNationality,
fatherPlaceOfBirth,a
fatherPreviousNationality,
maritalStatus,Single
motherCountryOfBirth,
motherName,1
motherNationality,
motherPlaceOfBirth,1
motherPreviousNationality,
pakistanConnection,No
spouseCountryOfBirth,
spouseName,
spouseNationality,
spousePlaceOfBirth,
spousePreviousNationality,
designation,
employerAddress,1
employerName,1
employerPhone,
militaryService,No
pastOccupation,
pastOccupationIfAny,
presentOccupation,
citiesPreviouslyVisited,
companyAddress,
companyName,
companyPhoneCountryCode,+1
companyPhoneNumber,
companyWebsite,
conferenceAddress,
conferenceEndDate,
conferenceName,
conferenceStartDate,
countriesVisitedLast10Years,
hotelBooked,No
indianFirmAddress,
indianFirmName,
indianFirmPhoneCountryCode,+91
indianFirmPhoneNumber,
indianFirmWebsite,
lastIndianVisaNo,
oldVisaIssueDate,
oldVisaIssuePlace,
oldVisaType,
organizerAddress,
organizerEmail,
organizerName,
organizerPhoneCountryCode,+91
organizerPhoneNumber,
placesToVisit,1
placesToVisitLine2,
previousAddress,
visitedIndiaBefore,No
visitedSAARCCountries,No
homeReferenceAddress,1
homeReferenceName,1
homeReferencePhoneCountryCode,+1
homeReferencePhoneNumber,1
indiaReferenceAddress,iamtravel100@gmail.com
indiaReferenceName,iamtravel100@gmail.com
indiaReferencePhoneCountryCode,+91
indiaReferencePhoneNumber,1
arrestedConvicted,No
arrestedConvictedReason,
asylumSought,No
asylumSoughtReason,
cyberCrime,No
cyberCrimeReason,
humanTrafficking,No
humanTraffickingReason,
refusedEntry,No
refusedEntryReason,
terroristViews,No
terroristViewsReason,
