Field,Value
visaId,draft
email,admin@clearevisa.com
passportType,Ordinary
portOfArrival,
expectedArrivalDate,2026-04-03
visaService,30 day Indian Tourist eVisa
visaServiceSubtype,"Tourism, Recreation, Sight-seeing"
passportNumber,PN123456789
dateOfIssue,2026-03-29
dateOfExpiry,2026-03-30
otherPassportHeld,No
yogaInstituteName,
yogaInstituteAddress,
yogaInstitutePhone,
educationalQualification,
givenNames,a
livedTwoYears,Yes
qualificationFrom,s
religion,
surname,a
visibleMarks,a
country,
houseNoStreet,s
phoneCountryCode,+1
phoneNumber,2356891245
postalCode,s
stateProvince,s
villageTownCity,s
fatherCountryOfBirth,
fatherName,a
fatherNationality,
fatherPlaceOfBirth,a
fatherPreviousNationality,
maritalStatus,Single
motherCountryOfBirth,
motherName,a
motherNationality,
motherPlaceOfBirth,a
motherPreviousNationality,
pakistanConnection,No
spouseCountryOfBirth,
spouseName,
spouseNationality,
spousePlaceOfBirth,
spousePreviousNationality,
designation,
employerAddress,a
employerName,a
employerPhone,
militaryService,No
pastOccupation,
pastOccupationIfAny,
presentOccupation,
citiesPreviouslyVisited,
companyAddress,
companyName,
companyPhoneCountryCode,+1
companyPhoneNumber,
companyWebsite,
conferenceAddress,
conferenceEndDate,
conferenceName,
conferenceStartDate,
countriesVisitedLast10Years,
hotelBooked,No
indianFirmAddress,
indianFirmName,
indianFirmPhoneCountryCode,+91
indianFirmPhoneNumber,
indianFirmWebsite,
lastIndianVisaNo,
oldVisaIssueDate,
oldVisaIssuePlace,
oldVisaType,
organizerAddress,
organizerEmail,
organizerName,
organizerPhoneCountryCode,+91
organizerPhoneNumber,
placesToVisit,a
placesToVisitLine2,
previousAddress,
visitedIndiaBefore,No
visitedSAARCCountries,No
homeReferenceAddress,a
homeReferenceName,a
homeReferencePhoneCountryCode,+1
homeReferencePhoneNumber,12345678993
indiaReferenceAddress,a
indiaReferenceName,a
indiaReferencePhoneCountryCode,+91
indiaReferencePhoneNumber,12346567899
arrestedConvicted,No
arrestedConvictedReason,
asylumSought,No
asylumSoughtReason,
cyberCrime,No
cyberCrimeReason,
humanTrafficking,No
humanTraffickingReason,
refusedEntry,No
refusedEntryReason,
terroristViews,No
terroristViewsReason,
applicationId,APP20260402195124
